"Player_Name","State","Total_Points","Pre_Rating","Avg_Opponent_Rating","Opponent_Ratings"
"Player Name","Num",NA,NA,NA,""
"GARY HUA","ON",6,1794,1585,"1423;1595;1629;1666;1686;1712;1384"
"DAKSHESH DARURI","MI",6,1553,1440,"1530;1092;1384;1604;1220;1564;1686"
"ADITYA BAJAJ","MI",6,1384,1454,"1649;967;1229;1595;1365;1663;1712"
"PATRICK H SCHILLING","MI",5.5,1716,1660,"1555;1552;1794;1745;1716;1600"
"HANSHI ZUO","MI",5.5,1655,1512,"1199;1355;1712;1663;1384;1666;1604"
"HANSEN SONG","OH",5,1686,1472,"1449;1507;1365;1399;1411;1579;1595"
"GARY DEE SWATHELL","MI",5,1649,1476,"1153;1242;1663;1365;1641;1794"
"EZEKIEL HOUGHTON","MI",5,1641,1412,"1553;1494;1666;1641;377;1552;1600"
"STEFANO LEE","ON",5,1411,1488,"1229;1629;917;1649;1745;1686;1564"
"ANVIT RAO","MI",5,1365,1446,"1220;1600;1270;1522;1655;1229;1629"
"CAMERON WILLIAM MC LEMAN","MI",4.5,1712,1465,"980;1186;1655;1686;1553;1449;1745"
"KENNETH J TACK","MI",4.5,1663,1419,"1403;1441;1716;980;1553"
"TORRANCE HENRY JR","MI",4.5,1666,1558,"1438;1579;1686;1716;1441;1553;1494"
"BRADLEY SHAW","MI",4.5,1610,1524,"1393;1283;1649;1579;1716;1522"
"ZACHARY JAMES HOUGHTON","MI",4.5,1220,1400,"1600;1220;1602;1563;1393;1441;980"
"MIKE NIKITIN","MI",4,1604,1535,"1411;1610;1423;1794;1438"
"RONALD GRZEGORCZYK","MI",4,1629,1583,"1362;1348;1745;1794;1555;1563;1716"
"DAVID SUNDEEN","MI",4,1600,1250,"377;1641;1494;1600;980;1411"
"DIPANKAR ROY","MI",4,1564,1464,"1610;1411;1011;1552;1629;1384;1649"
"JASON ZHENG","MI",4,1595,1530,"1436;1382;1555;1348;1552;1794;1641"
"DINH DANG BUI","ON",4,1563,1296,"1332;377;1553;1436;1423;1655"
"EUGENE L MCCLURE","MI",4,1555,1398,"1175;1011;1552;1610;1604;1436"
"ALAN BUI","ON",4,1363,1368,"1384;1332;1564;1092;1604;1355;1242"
"MICHAEL R ALDRICH","MI",4,1229,1150,"1552;377;1332;1229;853;1283;1423"
"LOREN SCHWIEBERT","MI",3.5,1745,1247,"1641;935;1553;1363;1449;1411;377"
"MAX ZHU","ON",3.5,1579,1472,"1382;1436;1604;1384;1641;1494;1365"
"GAURAV GIDWANI","MI",3.5,1552,1440,"1056;1663;1242;1355;1666;1655"
"SOFIA ADINA STANESCU-BELLU","MI",3.5,1507,1509,"1363;1384;1563;1600;1564;1649;1438"
"CHIEDOZIE OKORIE","MI",3.5,1602,1291,"1291;1655;980;1449;1011;1362"
"GEORGE AVERY JONES","ON",3.5,1522,1264,"1011;1175;1610;1270;1522;967;1291"
"RISHI SHETTY","MI",3.5,1494,1358,"1092;1270;1175;1411;1602;1291;1666"
"JOSHUA PHILIP MATHEWS","ON",3.5,1441,1427,"967;1649;1283;1629;1056;1745;1663"
"JADE GE","MI",3.5,1449,1375,"853;1712;1291;1438;1663;1610;1056"
"MICHAEL JEFFERY THOMAS","MI",3.5,1399,1282,"1655;853;1355;1507;1229;1365;1011"
"JOSHUA DAVID LEE","MI",3.5,1438,1227,"1242;980;1186;1655;1153;1011;1362"
"SIDDHARTH JHA","MI",3.5,1355,1348,"1663;1153;1056;1441;1220;1552"
"AMIYATOSH PWNANANDAM","MI",3.5,980,1453,"1716;1449;1579;1555;967"
"BRIAN LIU","MI",3,1423,1537,"1365;1399;1507;1712;1629;1610"
"JOEL R HENDON","MI",3,1436,1382,"1393;1436;1220;1283;1595;1363"
"FOREST ZHANG","MI",3,1348,1428,"1564;1745;1423;917;1595;1186;1563"
"KYLE WILLIAM MURPHY","MI",3,1403,1294,"917;1604;1092;1564"
"JARED GE","MI",3,1332,1191,"1712;1291;1153;853;967;1175;1186"
"ROBERT GLEN VASEY","MI",3,1283,1353,"1595;1555;1363;1530;917;1242;1270"
"JUSTIN D SCHILLING","MI",3,1199,1300,"1666;1494;935;1423;1363;917"
"DEREK YAN","MI",3,1242,1243,"1716;1056;853;1186;1530;1270;1092"
"JACOB ALEXANDER LAVALLEY","MI",3,377,1431,"1399;1686;1579;1291;1175;1332;1555"
"ERIC WRIGHT","MI",2.5,1362,1355,"1629;1363;1595;967;1649;1056;1229"
"DANIEL KHAIN","MI",2.5,1382,1410,"1604;1530;1011;1507;1399"
"MICHAEL J MARTIN","MI",2.5,1291,1421,"1745;1564;1530;1175;1092"
"SHIVAM JHA","MI",2.5,1056,1453,"1507;1403;1441;1242;1522;1602"
"TEJAS AYYAGARI","MI",2.5,1011,1240,"1579;1199;1438;1153;1494;377;1441"
"ETHAN GUO","MI",2.5,935,1497,"1602;1563;1600;1362;1507;1399;1449"
"JOSE C YBARRA","MI",2,1393,1222,"1229;1283;1153"
"LARRY HODGE","MI",2,1270,1293,"1666;1423;967;1610;917;1175"
"ALEX KONG","MI",2,1186,1337,"955;1522;1411;1602;1199;1332"
"MARISA RICCI","MI",2,1153,1360,"1365;1399;1199;1436;1403"
"MICHAEL LU","MI",2,1092,1320,"1686;1438;1403;1056;1399;935"
"VIRAJ MOHILE","MI",2,917,1467,"1522;1794;1348;1555;1382;1199"
"SEAN M MC CORMICK","MI",2,853,1406,"1348;1641;1436;1332;1393;1283"
